fir_number,timestamp,ps_name,area,lat,lng,incident_type,severity,weapon_involved,reported_to_police,source,hour,day_of_week
MAL/1007/2023,2023-08-31 12:05:17,Malir,Malir,24.892022,67.202419,motorcycle_theft,HIGH,none,yes,karachi_police_fir,12,Thursday
SUR/1003/2023,2023-09-03 01:29:45,Surjani,Surjani Town,24.983801,67.042963,mobile_snatching,HIGH,firearm,yes,karachi_police_fir,1,Sunday
NEW/1024/2023,2023-09-05 20:01:50,New Karachi,New Karachi,24.967138,67.069322,motorcycle_theft,HIGH,knife,yes,karachi_police_fir,20,Tuesday
KAL/1005/2023,2023-09-06 01:39:10,Kalakot,Lyari,24.847988,66.990741,mobile_snatching,HIGH,none,yes,karachi_police_fir,1,Wednesday
KEM/1011/2023,2023-09-08 08:21:51,Kemari,Kemari,24.834065,66.968503,vehicle_hijacking,HIGH,knife,yes,karachi_police_fir,8,Friday
TEE/1031/2023,2023-09-08 17:18:08,Teen Talwar,Teen Talwar,24.806589,67.028751,vehicle_hijacking,HIGH,firearm,yes,karachi_police_fir,17,Friday
GAR/1017/2023,2023-09-08 17:58:42,Garden,Saddar,24.869627,67.019822,motorcycle_theft,HIGH,none,yes,karachi_police_fir,17,Friday
GIZ/1010/2023,2023-09-10 17:11:18,Gizri,DHA Phase 2,24.811025,67.045713,motorcycle_theft,HIGH,none,yes,karachi_police_fir,17,Sunday
TEE/1020/2023,2023-09-11 01:46:16,Teen Talwar,Teen Talwar,24.812708,67.031706,vehicle_hijacking,HIGH,firearm,yes,karachi_police_fir,1,Monday
MOM/1032/2023,2023-09-11 10:33:10,Mominabad,Orangi Town,24.944091,66.988585,mobile_snatching,HIGH,firearm,yes,karachi_police_fir,10,Monday
SUR/1001/2023,2023-09-13 19:00:46,Surjani,Surjani Town,24.980314,67.03394,motorcycle_theft,HIGH,knife,yes,karachi_police_fir,19,Wednesday
KOR/1025/2023,2023-09-13 23:06:40,Korangi,Korangi,24.838207,67.110201,motorcycle_theft,HIGH,none,yes,karachi_police_fir,23,Wednesday
PIR/1040/2023,2023-09-14 23:38:53,Pirabad,Orangi Town,24.935865,66.987277,mobile_snatching,CRITICAL,knife,yes,karachi_police_fir,23,Thursday
SUR/1009/2023,2023-09-17 00:24:40,Surjani,Surjani Town,25.002055,67.052139,motorcycle_theft,HIGH,none,yes,karachi_police_fir,0,Sunday
GAR/1021/2023,2023-09-17 09:43:50,Garden,Saddar,24.869585,67.016889,car_theft,MEDIUM,none,yes,karachi_police_fir,9,Sunday
KAL/1046/2023,2023-09-17 15:31:49,Kalakot,Lyari,24.851589,66.995413,motorcycle_theft,HIGH,none,yes,karachi_police_fir,15,Sunday
SUR/1019/2023,2023-09-19 04:00:34,Surjani,Surjani Town,24.993271,67.047196,motorcycle_theft,HIGH,none,yes,karachi_police_fir,4,Tuesday
SUR/1018/2023,2023-09-19 23:45:38,Surjani,Surjani Town,24.989259,67.048735,motorcycle_theft,HIGH,none,yes,karachi_police_fir,23,Tuesday
KHA/1026/2023,2023-09-20 01:38:11,Kharadar,Saddar,24.851365,67.001487,motorcycle_theft,HIGH,none,yes,karachi_police_fir,1,Wednesday
SOH/1020/2023,2023-09-21 20:10:35,Sohrab Goth,Sohrab Goth,24.956768,67.055711,motorcycle_theft,CRITICAL,none,yes,karachi_police_fir,20,Thursday
BAL/1028/2023,2023-09-21 23:18:48,Baldia,Baldia Town,24.900572,66.980484,mugging,MEDIUM,knife,yes,karachi_police_fir,23,Thursday
SOH/1004/2023,2023-09-22 22:28:05,Sohrab Goth,Sohrab Goth,24.952848,67.056103,motorcycle_theft,CRITICAL,none,yes,karachi_police_fir,22,Friday
NAP/1015/2023,2023-09-23 02:25:14,Napier,Saddar,24.862373,67.009625,mobile_snatching,HIGH,firearm,yes,karachi_police_fir,2,Saturday
GAR/1002/2023,2023-09-23 22:38:47,Garden,Saddar,24.865253,67.025063,motorcycle_theft,HIGH,none,yes,karachi_police_fir,22,Saturday
ORA/1040/2023,2023-09-27 08:35:13,Orangi 5,Orangi Town,24.938442,66.999385,robbery,HIGH,blunt_object,yes,karachi_police_fir,8,Wednesday
NEW/1021/2023,2023-09-29 15:44:16,New Karachi,New Karachi,24.965488,67.075029,motorcycle_theft,HIGH,none,yes,karachi_police_fir,15,Friday
TEE/1018/2023,2023-09-30 03:37:33,Teen Talwar,Teen Talwar,24.81061,67.032232,motorcycle_theft,HIGH,knife,yes,karachi_police_fir,3,Saturday
TEE/1003/2023,2023-09-30 17:33:22,Teen Talwar,Teen Talwar,24.80711,67.023422,vehicle_hijacking,HIGH,firearm,yes,karachi_police_fir,17,Saturday
BAL/1022/2023,2023-09-30 21:30:57,Baldia,Baldia Town,24.914264,66.978409,vehicle_hijacking,HIGH,firearm,yes,karachi_police_fir,21,Saturday
FER/1017/2023,2023-10-02 11:11:41,Ferozabad,Gulshan-e-Iqbal,24.925181,67.084276,motorcycle_theft,HIGH,knife,yes,karachi_police_fir,11,Monday
KOR/1007/2023,2023-10-02 23:22:16,Korangi,Korangi,24.827021,67.121407,car_theft,MEDIUM,none,yes,karachi_police_fir,23,Monday
KHA/1005/2023,2023-10-06 02:51:56,Kharadar,Saddar,24.860673,67.003355,vehicle_hijacking,HIGH,firearm,yes,karachi_police_fir,2,Friday
LAN/1011/2023,2023-10-07 10:45:27,Landhi,Landhi,24.856887,67.172483,motorcycle_theft,HIGH,none,yes,karachi_police_fir,10,Saturday
KAL/1007/2023,2023-10-08 01:41:04,Kalakot,Lyari,24.857753,67.001796,motorcycle_theft,HIGH,none,yes,karachi_police_fir,1,Sunday
KHA/1003/2023,2023-10-11 00:07:42,Kharadar,Saddar,24.855926,67.000609,motorcycle_theft,HIGH,none,yes,karachi_police_fir,0,Wednesday
NEW/1007/2023,2023-10-11 08:35:42,New Karachi,New Karachi,24.969773,67.077376,motorcycle_theft,HIGH,knife,yes,karachi_police_fir,8,Wednesday
BAG/1002/2023,2023-10-12 00:06:17,Baghdadi,Lyari,24.858564,66.989202,vehicle_hijacking,HIGH,firearm,yes,karachi_police_fir,0,Thursday
LIA/1018/2023,2023-10-19 08:04:22,Liaquatabad,Liaquatabad,24.904053,67.033439,motorcycle_theft,HIGH,none,yes,karachi_police_fir,8,Thursday
BAG/1017/2023,2023-10-20 09:17:03,Baghdadi,Lyari,24.853157,66.990673,motorcycle_theft,HIGH,none,yes,karachi_police_fir,9,Friday
BAG/1020/2023,2023-10-21 19:56:32,Baghdadi,Lyari,24.848319,66.990238,motorcycle_theft,HIGH,knife,yes,karachi_police_fir,19,Saturday
LIA/1013/2023,2023-10-22 01:02:14,Liaquatabad,Liaquatabad,24.899102,67.038903,motorcycle_theft,HIGH,none,yes,karachi_police_fir,1,Sunday
GAR/1011/2023,2023-10-23 00:48:54,Garden,Saddar,24.871389,67.025402,motorcycle_theft,HIGH,none,yes,karachi_police_fir,0,Monday
KHA/1018/2023,2023-10-23 03:32:41,Kharadar,Saddar,24.85761,67.010108,mobile_snatching,HIGH,firearm,yes,karachi_police_fir,3,Monday
PIR/1002/2023,2023-10-30 16:11:44,Pirabad,Orangi Town,24.935427,66.985015,motorcycle_theft,HIGH,none,yes,karachi_police_fir,16,Monday
FER/1001/2023,2023-10-31 00:58:46,Ferozabad,Gulshan-e-Iqbal,24.916635,67.086618,mugging,MEDIUM,blunt_object,yes,karachi_police_fir,0,Tuesday
SUR/1011/2023,2023-11-03 01:12:03,Surjani,Surjani Town,24.983261,67.05177,mobile_snatching,HIGH,firearm,yes,karachi_police_fir,1,Friday
PAK/1028/2023,2023-11-03 21:49:17,Pak Colony,Pak Colony,24.907011,66.992668,vehicle_hijacking,HIGH,firearm,yes,karachi_police_fir,21,Friday
NOR/1020/2023,2023-11-06 21:55:17,North Nazimabad,North Nazimabad,24.949625,67.05636,motorcycle_theft,HIGH,none,yes,karachi_police_fir,21,Monday
LAN/1028/2023,2023-11-08 22:28:28,Landhi,Landhi,24.867716,67.160184,mobile_snatching,HIGH,firearm,yes,karachi_police_fir,22,Wednesday
KOR/1017/2023,2023-11-09 10:33:37,Korangi,Korangi,24.827629,67.106893,motorcycle_theft,HIGH,knife,yes,karachi_police_fir,10,Thursday
GUL/1019/2023,2023-11-09 23:13:24,Gulshan Iqbal,Gulshan-e-Iqbal,24.922996,67.102707,robbery,HIGH,blunt_object,yes,karachi_police_fir,23,Thursday
KEM/1021/2023,2023-11-10 01:17:05,Kemari,Kemari,24.838904,66.972017,motorcycle_theft,HIGH,knife,yes,karachi_police_fir,1,Friday
MOM/1028/2023,2023-11-10 15:08:01,Mominabad,Orangi Town,24.93042,66.984001,motorcycle_theft,HIGH,none,yes,karachi_police_fir,15,Friday
DHA/1003/2023,2023-11-10 19:44:06,DHA Phase 6,DHA Phase 6,24.782595,67.068482,motorcycle_theft,HIGH,none,yes,karachi_police_fir,19,Friday
KEM/1017/2023,2023-11-10 20:17:04,Kemari,Kemari,24.832523,66.963388,motorcycle_theft,HIGH,none,yes,karachi_police_fir,20,Friday
GUL/1048/2023,2023-11-10 23:48:28,Gulshan Iqbal,Gulshan-e-Iqbal,24.935427,67.098961,mobile_snatching,HIGH,firearm,yes,karachi_police_fir,23,Friday
ORA/1048/2023,2023-11-13 03:04:48,Orangi 5,Orangi Town,24.949208,66.996933,motorcycle_theft,HIGH,none,yes,karachi_police_fir,3,Monday
ARA/1018/2023,2023-11-13 16:47:32,Arambagh,Saddar,24.857817,67.014097,motorcycle_theft,HIGH,none,yes,karachi_police_fir,16,Monday
GUL/1023/2023,2023-11-16 20:26:42,Gulberg,Gulberg,24.907739,67.079119,motorcycle_theft,HIGH,none,yes,karachi_police_fir,20,Thursday
GUL/1010/2023,2023-11-17 03:00:47,Gulshan Iqbal,Gulshan-e-Iqbal,24.926922,67.106514,motorcycle_theft,HIGH,none,yes,karachi_police_fir,3,Friday
NAP/1019/2023,2023-11-19 16:14:46,Napier,Saddar,24.866046,67.007612,motorcycle_theft,HIGH,none,yes,karachi_police_fir,16,Sunday
NEW/1028/2023,2023-11-20 06:38:54,New Karachi,New Karachi,24.979962,67.078892,motorcycle_theft,HIGH,knife,yes,karachi_police_fir,6,Monday
KEM/1022/2023,2023-11-20 20:41:30,Kemari,Kemari,24.84215,66.975921,mobile_snatching,HIGH,none,yes,karachi_police_fir,20,Monday
GUL/1049/2023,2023-11-22 03:47:58,Gulshan Iqbal,Gulshan-e-Iqbal,24.926255,67.100764,vehicle_hijacking,HIGH,firearm,yes,karachi_police_fir,3,Wednesday
MAL/1009/2023,2023-11-22 08:47:59,Malir,Malir,24.902933,67.191107,motorcycle_theft,HIGH,none,yes,karachi_police_fir,8,Wednesday
KHA/1015/2023,2023-11-23 18:34:28,Kharadar,Saddar,24.855288,67.000431,motorcycle_theft,HIGH,none,yes,karachi_police_fir,18,Thursday
PIR/1025/2023,2023-11-24 00:24:30,Pirabad,Orangi Town,24.936567,66.989856,motorcycle_theft,HIGH,none,yes,karachi_police_fir,0,Friday
BAL/1018/2023,2023-11-24 11:07:55,Baldia,Baldia Town,24.904553,66.99359,motorcycle_theft,HIGH,knife,yes,karachi_police_fir,11,Friday
NAP/1002/2023,2023-11-24 23:17:03,Napier,Saddar,24.861259,67.006105,motorcycle_theft,HIGH,none,yes,karachi_police_fir,23,Friday
LAN/1017/2023,2023-11-26 08:34:11,Landhi,Landhi,24.859759,67.161503,motorcycle_theft,HIGH,none,yes,karachi_police_fir,8,Sunday
MAL/1001/2023,2023-11-26 22:21:18,Malir,Malir,24.901099,67.192492,motorcycle_theft,HIGH,none,yes,karachi_police_fir,22,Sunday
DHA/1002/2023,2023-11-27 23:02:55,DHA Phase 6,DHA Phase 6,24.770434,67.064591,motorcycle_theft,HIGH,knife,yes,karachi_police_fir,23,Monday
CLI/1003/2023,2023-11-28 00:13:46,Clifton,Clifton,24.818947,67.025379,motorcycle_theft,HIGH,none,yes,karachi_police_fir,0,Tuesday
ORA/1027/2023,2023-11-28 01:28:08,Orangi 5,Orangi Town,24.939672,66.997895,mobile_snatching,HIGH,knife,yes,karachi_police_fir,1,Tuesday
SUR/1027/2023,2023-11-29 18:09:04,Surjani,Surjani Town,24.996353,67.05131,mobile_snatching,HIGH,firearm,yes,karachi_police_fir,18,Wednesday
GUL/1044/2023,2023-12-02 11:40:43,Gulshan Iqbal,Gulshan-e-Iqbal,24.939096,67.109664,assault,MEDIUM,knife,yes,karachi_police_fir,11,Saturday
SOH/1015/2023,2023-12-02 20:11:15,Sohrab Goth,Sohrab Goth,24.951512,67.046071,motorcycle_theft,CRITICAL,none,yes,karachi_police_fir,20,Saturday
CLI/1002/2023,2023-12-03 18:26:00,Clifton,Clifton,24.806727,67.034525,mobile_snatching,HIGH,firearm,yes,karachi_police_fir,18,Sunday
KOR/1013/2023,2023-12-05 08:52:47,Korangi,Korangi,24.837943,67.1038,motorcycle_theft,HIGH,knife,yes,karachi_police_fir,8,Tuesday
MOM/1035/2023,2023-12-05 13:40:03,Mominabad,Orangi Town,24.944155,67.001171,motorcycle_theft,HIGH,none,yes,karachi_police_fir,13,Tuesday
KOR/1032/2023,2023-12-06 09:07:47,Korangi,Korangi,24.833295,67.119596,motorcycle_theft,HIGH,none,yes,karachi_police_fir,9,Wednesday
GUL/1043/2023,2023-12-07 12:07:48,Gulshan Iqbal,Gulshan-e-Iqbal,24.935278,67.108488,motorcycle_theft,HIGH,none,yes,karachi_police_fir,12,Thursday
MOM/1015/2023,2023-12-07 22:11:47,Mominabad,Orangi Town,24.929593,66.994854,motorcycle_theft,CRITICAL,knife,yes,karachi_police_fir,22,Thursday
GUL/1007/2023,2023-12-08 01:04:04,Gulberg,Gulberg,24.913403,67.089052,motorcycle_theft,HIGH,none,yes,karachi_police_fir,1,Friday
GUL/1018/2023,2023-12-08 16:48:42,Gulshan Iqbal,Gulshan-e-Iqbal,24.930455,67.106338,mobile_snatching,HIGH,firearm,yes,karachi_police_fir,16,Friday
SOH/1035/2023,2023-12-09 17:19:46,Sohrab Goth,Sohrab Goth,24.951979,67.055634,motorcycle_theft,HIGH,none,yes,karachi_police_fir,17,Saturday
PAK/1012/2023,2023-12-10 10:26:18,Pak Colony,Pak Colony,24.904282,66.996375,motorcycle_theft,HIGH,knife,yes,karachi_police_fir,10,Sunday
NOR/1032/2023,2023-12-12 20:34:36,North Nazimabad,North Nazimabad,24.945492,67.065174,mobile_snatching,HIGH,knife,yes,karachi_police_fir,20,Tuesday
PIR/1028/2023,2023-12-14 01:37:05,Pirabad,Orangi Town,24.922613,66.980708,vehicle_hijacking,HIGH,knife,yes,karachi_police_fir,1,Thursday
FER/1012/2023,2023-12-16 16:40:37,Ferozabad,Gulshan-e-Iqbal,24.915562,67.084082,motorcycle_theft,HIGH,none,yes,karachi_police_fir,16,Saturday
KHA/1017/2023,2023-12-17 04:14:39,Kharadar,Saddar,24.849723,67.009408,motorcycle_theft,HIGH,none,yes,karachi_police_fir,4,Sunday
GAR/1010/2023,2023-12-18 02:53:06,Garden,Saddar,24.866462,67.015546,motorcycle_theft,HIGH,none,yes,karachi_police_fir,2,Monday
PAK/1019/2023,2023-12-20 21:05:26,Pak Colony,Pak Colony,24.91216,66.988638,assault,MEDIUM,blunt_object,yes,karachi_police_fir,21,Wednesday
SUR/1036/2023,2023-12-21 02:01:19,Surjani,Surjani Town,24.99652,67.033358,motorcycle_theft,HIGH,none,yes,karachi_police_fir,2,Thursday
GUL/1001/2023,2023-12-21 17:23:24,Gulberg,Gulberg,24.917188,67.084664,motorcycle_theft,HIGH,none,yes,karachi_police_fir,17,Thursday
NAP/1022/2023,2023-12-22 22:14:38,Napier,Saddar,24.863511,67.006022,vehicle_hijacking,HIGH,firearm,yes,karachi_police_fir,22,Friday
DHA/1007/2023,2023-12-22 22:43:10,DHA Phase 6,DHA Phase 6,24.779892,67.078214,motorcycle_theft,HIGH,none,yes,karachi_police_fir,22,Friday
SOH/1028/2023,2023-12-23 16:55:17,Sohrab Goth,Sohrab Goth,24.958496,67.061994,motorcycle_theft,HIGH,none,yes,karachi_police_fir,16,Saturday
GUL/1035/2023,2023-12-25 01:01:32,Gulshan Iqbal,Gulshan-e-Iqbal,24.928494,67.103256,motorcycle_theft,HIGH,none,yes,karachi_police_fir,1,Monday
SUR/1016/2023,2023-12-25 21:07:46,Surjani,Surjani Town,24.98511,67.045013,mobile_snatching,HIGH,knife,yes,karachi_police_fir,21,Monday
KAL/1031/2023,2023-12-26 18:07:04,Kalakot,Lyari,24.858998,66.997842,mobile_snatching,HIGH,firearm,yes,karachi_police_fir,18,Tuesday
TEE/1017/2023,2023-12-27 11:31:44,Teen Talwar,Teen Talwar,24.813064,67.025436,motorcycle_theft,HIGH,none,yes,karachi_police_fir,11,Wednesday
BAL/1034/2023,2023-12-28 22:23:41,Baldia,Baldia Town,24.896073,66.991198,mobile_snatching,HIGH,firearm,yes,karachi_police_fir,22,Thursday
ARA/1015/2023,2023-12-31 02:34:01,Arambagh,Saddar,24.854978,67.009776,vehicle_hijacking,HIGH,firearm,yes,karachi_police_fir,2,Sunday
KAL/1037/2023,2023-12-31 21:50:50,Kalakot,Lyari,24.847603,67.000471,motorcycle_theft,CRITICAL,none,yes,karachi_police_fir,21,Sunday
SOH/1036/2024,2024-01-03 02:30:07,Sohrab Goth,Sohrab Goth,24.948873,67.046472,carjacking,HIGH,knife,yes,karachi_police_fir,2,Wednesday
GUL/1018/2024,2024-01-05 00:28:54,Gulberg,Gulberg,24.922378,67.090532,motorcycle_theft,HIGH,none,yes,karachi_police_fir,0,Friday
CLI/1018/2024,2024-01-05 10:55:31,Clifton,Clifton,24.823165,67.03478,motorcycle_theft,HIGH,none,yes,karachi_police_fir,10,Friday
SOH/1027/2024,2024-01-05 20:47:03,Sohrab Goth,Sohrab Goth,24.954052,67.04988,mobile_snatching,CRITICAL,firearm,yes,karachi_police_fir,20,Friday
SOH/1022/2024,2024-01-09 22:30:56,Sohrab Goth,Sohrab Goth,24.95633,67.056724,mobile_snatching,CRITICAL,knife,yes,karachi_police_fir,22,Tuesday
GAR/1014/2024,2024-01-12 18:50:37,Garden,Saddar,24.867894,67.021081,motorcycle_theft,HIGH,knife,yes,karachi_police_fir,18,Friday
SOH/1040/2024,2024-01-13 23:35:09,Sohrab Goth,Sohrab Goth,24.950616,67.055787,motorcycle_theft,CRITICAL,none,yes,karachi_police_fir,23,Saturday
GIZ/1005/2024,2024-01-14 06:30:26,Gizri,DHA Phase 2,24.805754,67.046565,mobile_snatching,HIGH,knife,yes,karachi_police_fir,6,Sunday
BAL/1013/2024,2024-01-15 09:58:00,Baldia,Baldia Town,24.914213,66.978948,car_theft,MEDIUM,blunt_object,yes,karachi_police_fir,9,Monday
MAL/1010/2024,2024-01-15 17:21:25,Malir,Malir,24.896639,67.178305,mobile_snatching,HIGH,firearm,yes,karachi_police_fir,17,Monday
MOM/1039/2024,2024-01-18 23:15:55,Mominabad,Orangi Town,24.929839,66.995358,mobile_snatching,CRITICAL,none,yes,karachi_police_fir,23,Thursday
KEM/1002/2024,2024-01-20 23:12:37,Kemari,Kemari,24.838449,66.964314,vehicle_hijacking,HIGH,firearm,yes,karachi_police_fir,23,Saturday
SOH/1003/2024,2024-01-21 00:56:12,Sohrab Goth,Sohrab Goth,24.950669,67.060752,mobile_snatching,HIGH,firearm,yes,karachi_police_fir,0,Sunday
KAL/1019/2024,2024-01-22 09:25:36,Kalakot,Lyari,24.852595,66.992162,vehicle_hijacking,HIGH,firearm,yes,karachi_police_fir,9,Monday
NEW/1013/2024,2024-01-22 16:55:48,New Karachi,New Karachi,24.978673,67.075677,motorcycle_theft,HIGH,none,yes,karachi_police_fir,16,Monday
KAL/1018/2024,2024-01-22 18:33:47,Kalakot,Lyari,24.847637,67.000554,motorcycle_theft,HIGH,none,yes,karachi_police_fir,18,Monday
GUL/1002/2024,2024-01-23 00:14:50,Gulberg,Gulberg,24.908502,67.091007,robbery,HIGH,firearm,yes,karachi_police_fir,0,Tuesday
BAG/1009/2024,2024-01-23 23:15:47,Baghdadi,Lyari,24.849059,66.984409,mugging,MEDIUM,none,yes,karachi_police_fir,23,Tuesday
ARA/1010/2024,2024-01-26 01:34:59,Arambagh,Saddar,24.854909,67.00852,motorcycle_theft,HIGH,none,yes,karachi_police_fir,1,Friday
FER/1019/2024,2024-01-27 12:34:39,Ferozabad,Gulshan-e-Iqbal,24.917015,67.087567,mobile_snatching,HIGH,none,yes,karachi_police_fir,12,Saturday
ARA/1001/2024,2024-01-28 13:34:29,Arambagh,Saddar,24.854495,67.007095,carjacking,HIGH,firearm,yes,karachi_police_fir,13,Sunday
GIZ/1009/2024,2024-01-31 22:25:04,Gizri,DHA Phase 2,24.808734,67.051506,mobile_snatching,HIGH,none,yes,karachi_police_fir,22,Wednesday
KOR/1033/2024,2024-02-01 01:16:07,Korangi,Korangi,24.835837,67.107491,motorcycle_theft,HIGH,none,yes,karachi_police_fir,1,Thursday
KHA/1001/2024,2024-02-02 18:19:34,Kharadar,Saddar,24.851004,67.009487,mobile_snatching,HIGH,none,yes,karachi_police_fir,18,Friday
KAL/1035/2024,2024-02-03 19:47:24,Kalakot,Lyari,24.850292,66.999427,mobile_snatching,HIGH,firearm,yes,karachi_police_fir,19,Saturday
KOR/1002/2024,2024-02-05 20:45:46,Korangi Creek,DHA Phase 8,24.79424,67.116811,motorcycle_theft,HIGH,knife,yes,karachi_police_fir,20,Monday
TEE/1006/2024,2024-02-06 03:17:06,Teen Talwar,Teen Talwar,24.811282,67.02315,motorcycle_theft,HIGH,none,yes,karachi_police_fir,3,Tuesday
KAL/1022/2024,2024-02-06 20:29:59,Kalakot,Lyari,24.853251,66.992675,motorcycle_theft,CRITICAL,none,yes,karachi_police_fir,20,Tuesday
PIR/1047/2024,2024-02-08 23:32:17,Pirabad,Orangi Town,24.936505,66.991525,motorcycle_theft,CRITICAL,none,yes,karachi_police_fir,23,Thursday
NEW/1004/2024,2024-02-09 02:17:47,New Karachi,New Karachi,24.97127,67.06238,motorcycle_theft,HIGH,none,yes,karachi_police_fir,2,Friday
KAL/1004/2024,2024-02-10 21:47:25,Kalakot,Lyari,24.854927,67.001691,motorcycle_theft,CRITICAL,none,yes,karachi_police_fir,21,Saturday
KEM/1003/2024,2024-02-11 10:16:57,Kemari,Kemari,24.837294,66.975348,motorcycle_theft,HIGH,knife,yes,karachi_police_fir,10,Sunday
KEM/1014/2024,2024-02-18 01:18:31,Kemari,Kemari,24.845205,66.966467,mobile_snatching,HIGH,firearm,yes,karachi_police_fir,1,Sunday
BAG/1028/2024,2024-02-18 20:47:38,Baghdadi,Lyari,24.852413,66.988829,vehicle_hijacking,CRITICAL,firearm,yes,karachi_police_fir,20,Sunday
BAL/1007/2024,2024-02-19 22:51:01,Baldia,Baldia Town,24.898327,66.990945,motorcycle_theft,HIGH,none,yes,karachi_police_fir,22,Monday
SUR/1007/2024,2024-02-21 00:13:08,Surjani,Surjani Town,24.982306,67.035739,motorcycle_theft,HIGH,knife,yes,karachi_police_fir,0,Wednesday
BAG/1021/2024,2024-02-21 16:24:02,Baghdadi,Lyari,24.857124,66.993459,motorcycle_theft,HIGH,none,yes,karachi_police_fir,16,Wednesday
PIR/1005/2024,2024-02-22 19:08:20,Pirabad,Orangi Town,24.924176,66.992961,motorcycle_theft,HIGH,none,yes,karachi_police_fir,19,Thursday
FER/1015/2024,2024-02-23 12:41:14,Ferozabad,Gulshan-e-Iqbal,24.922971,67.08937,motorcycle_theft,HIGH,none,yes,karachi_police_fir,12,Friday
LAN/1025/2024,2024-02-25 20:44:55,Landhi,Landhi,24.857349,67.173846,motorcycle_theft,HIGH,none,yes,karachi_police_fir,20,Sunday
LIA/1026/2024,2024-02-26 22:02:25,Liaquatabad,Liaquatabad,24.892943,67.038606,motorcycle_theft,HIGH,none,yes,karachi_police_fir,22,Monday
ORA/1047/2024,2024-02-29 04:19:03,Orangi 5,Orangi Town,24.946921,67.007299,motorcycle_theft,HIGH,none,yes,karachi_police_fir,4,Thursday
MOM/1011/2024,2024-03-01 21:56:17,Mominabad,Orangi Town,24.928657,67.000488,mobile_snatching,CRITICAL,firearm,yes,karachi_police_fir,21,Friday
GUL/1015/2024,2024-03-05 02:37:15,Gulshan Iqbal,Gulshan-e-Iqbal,24.942473,67.111768,motorcycle_theft,HIGH,knife,yes,karachi_police_fir,2,Tuesday
NEW/1003/2024,2024-03-05 22:35:16,New Karachi,New Karachi,24.968804,67.078528,mobile_snatching,HIGH,firearm,yes,karachi_police_fir,22,Tuesday
ARA/1021/2024,2024-03-06 17:00:25,Arambagh,Saddar,24.86113,67.014616,vehicle_hijacking,HIGH,firearm,yes,karachi_police_fir,17,Wednesday
KOR/1011/2024,2024-03-08 14:28:56,Korangi,Korangi,24.835731,67.099142,mobile_snatching,HIGH,knife,yes,karachi_police_fir,14,Friday
ORA/1042/2024,2024-03-08 22:37:04,Orangi 5,Orangi Town,24.939856,66.99467,mugging,MEDIUM,blunt_object,yes,karachi_police_fir,22,Friday
FER/1004/2024,2024-03-09 18:46:38,Ferozabad,Gulshan-e-Iqbal,24.925574,67.095798,motorcycle_theft,HIGH,none,yes,karachi_police_fir,18,Saturday
LAN/1001/2024,2024-03-09 23:06:26,Landhi,Landhi,24.851954,67.162374,mobile_snatching,HIGH,firearm,yes,karachi_police_fir,23,Saturday
PIR/1033/2024,2024-03-10 22:18:39,Pirabad,Orangi Town,24.934385,66.99249,mobile_snatching,CRITICAL,firearm,yes,karachi_police_fir,22,Sunday
ORA/1012/2024,2024-03-11 23:32:42,Orangi 5,Orangi Town,24.940653,67.000772,motorcycle_theft,CRITICAL,none,yes,karachi_police_fir,23,Monday
KOR/1001/2024,2024-03-12 19:19:17,Korangi Creek,DHA Phase 8,24.805985,67.109808,carjacking,HIGH,firearm,yes,karachi_police_fir,19,Tuesday
BAG/1018/2024,2024-03-13 02:23:30,Baghdadi,Lyari,24.862763,67.000953,car_theft,MEDIUM,blunt_object,yes,karachi_police_fir,2,Wednesday
MOM/1021/2024,2024-03-13 22:59:44,Mominabad,Orangi Town,24.929889,67.003709,vehicle_hijacking,CRITICAL,firearm,yes,karachi_police_fir,22,Wednesday
GUL/1026/2024,2024-03-14 09:44:22,Gulshan Iqbal,Gulshan-e-Iqbal,24.934027,67.110833,motorcycle_theft,HIGH,none,yes,karachi_police_fir,9,Thursday
FER/1003/2024,2024-03-17 08:57:46,Ferozabad,Gulshan-e-Iqbal,24.924467,67.090949,motorcycle_theft,HIGH,none,yes,karachi_police_fir,8,Sunday
GUL/1016/2024,2024-03-19 02:02:43,Gulberg,Gulberg,24.907847,67.081166,vehicle_hijacking,HIGH,knife,yes,karachi_police_fir,2,Tuesday
DHA/1008/2024,2024-03-21 17:53:38,DHA Phase 4,DHA Phase 4,24.787581,67.064053,motorcycle_theft,HIGH,none,yes,karachi_police_fir,17,Thursday
ORA/1026/2024,2024-03-22 18:40:51,Orangi 5,Orangi Town,24.94283,67.004746,motorcycle_theft,HIGH,none,yes,karachi_police_fir,18,Friday
GUL/1019/2024,2024-03-22 22:39:29,Gulberg,Gulberg,24.919661,67.08351,motorcycle_theft,HIGH,knife,yes,karachi_police_fir,22,Friday
GUL/1016/2024,2024-03-23 09:47:23,Gulshan Iqbal,Gulshan-e-Iqbal,24.936022,67.113549,motorcycle_theft,HIGH,knife,yes,karachi_police_fir,9,Saturday
LAN/1008/2024,2024-03-24 03:53:46,Landhi,Landhi,24.857516,67.164935,mobile_snatching,HIGH,firearm,yes,karachi_police_fir,3,Sunday
FER/1006/2024,2024-03-25 14:15:32,Ferozabad,Gulshan-e-Iqbal,24.915306,67.0906,motorcycle_theft,HIGH,knife,yes,karachi_police_fir,14,Monday
